candles

open;close;high;low;value;volume;begin;end
436.64;438.73;440.07;435.64;317341866776;0;2017-06-01 00:00:00;2017-06-30 00:00:00
435.11;436.67;438.67;432.62;180271389756;0;2017-05-01 00:00:00;2017-05-31 00:00:00
427.75;434.76;434.79;426.64;237842320700;0;2017-04-01 00:00:00;2017-04-28 00:00:00
418.73;427.47;428.2;417.91;333858286837;0;2017-03-01 00:00:00;2017-03-31 00:00:00
419.27;418.54;421.26;418.3;178783539830;0;2017-02-01 00:00:00;2017-02-28 00:00:00
414.1;419.19;420.71;413.69;248892324307;0;2017-01-01 00:00:00;2017-01-31 00:00:00
402.55;413.58;414.67;402.31;280055981952;0;2016-12-01 00:00:00;2016-12-30 00:00:00
402.99;402.28;405.75;399.65;211319855244;0;2016-11-01 00:00:00;2016-11-30 00:00:00
406.17;402.94;407.84;401.93;166457035613;0;2016-10-01 00:00:00;2016-10-31 00:00:00
401.24;405.75;407.13;401.24;338458971205;0;2016-09-01 00:00:00;2016-09-30 00:00:00
394.88;401.39;401.44;394.52;180236847668;0;2016-08-01 00:00:00;2016-08-31 00:00:00
393.33;394.68;395.07;391.94;208826110284;0;2016-07-01 00:00:00;2016-07-29 00:00:00
384.57;393.18;393.18;383.03;213800909542;0;2016-06-01 00:00:00;2016-06-30 00:00:00
381.42;384.41;385.11;381.04;212935459783;0;2016-05-01 00:00:00;2016-05-31 00:00:00
377.05;381.46;381.46;375.05;268338077679;0;2016-04-01 00:00:00;2016-04-29 00:00:00
367.37;376.88;377.58;367.27;219971356372;0;2016-03-01 00:00:00;2016-03-31 00:00:00
357.47;367.19;368.32;354.67;227727792890;0;2016-02-01 00:00:00;2016-02-29 00:00:00
360.56;357.4;362.94;346.79;312728313722;0;2016-01-01 00:00:00;2016-01-31 00:00:00
356.13;360.19;360.71;354.34;226689680026;0;2015-12-01 00:00:00;2015-12-31 00:00:00
350.05;356.21;360.07;350.05;343813714149;0;2015-11-01 00:00:00;2015-11-30 00:00:00
333.3;350.19;350.93;332.93;323214442320;0;2015-10-01 00:00:00;2015-10-31 00:00:00
324.45;333.19;333.57;323.58;160289543237;0;2015-09-01 00:00:00;2015-09-30 00:00:00
332.17;324.19;332.74;318.12;168004634256;0;2015-08-01 00:00:00;2015-08-31 00:00:00
325.17;332.02;336.18;324.03;47510852328;0;2015-07-01 00:00:00;2015-07-31 00:00:00
326.68;325.2;328.72;322.88;35095912608;0;2015-06-01 00:00:00;2015-06-30 00:00:00
322.54;326.23;328.67;322.54;28688929229;0;2015-05-01 00:00:00;2015-05-31 00:00:00
303.74;322.31;324.77;301.89;36137031016;0;2015-04-01 00:00:00;2015-04-30 00:00:00
288.29;303.91;306.67;284.65;26255396204;0;2015-03-01 00:00:00;2015-03-31 00:00:00
279.01;288.21;299.8;277.7;19963896674;0;2015-02-01 00:00:00;2015-02-28 00:00:00
278.62;278.85;279.4;262.45;16920729323;0;2015-01-01 00:00:00;2015-01-31 00:00:00
310.43;278.02;310.43;257.42;32219563638;0;2014-12-01 00:00:00;2014-12-31 00:00:00
314.86;310.34;315.9;310.17;20768635080;0;2014-11-01 00:00:00;2014-11-30 00:00:00
321.25;314.74;321.54;312.81;26375340276;0;2014-10-01 00:00:00;2014-10-31 00:00:00
313.81;320.74;322.51;311.73;25093763925;0;2014-09-01 00:00:00;2014-09-30 00:00:00
314.79;313.7;318.35;309.81;62767934071;0;2014-08-01 00:00:00;2014-08-31 00:00:00
324.85;314.99;325.38;314.15;43825019677;0;2014-07-01 00:00:00;2014-07-31 00:00:00
320.63;324.81;326.97;319.95;38046416106;0;2014-06-01 00:00:00;2014-06-30 00:00:00
311.22;320.01;320.83;310.59;45241152045;0;2014-05-01 00:00:00;2014-05-31 00:00:00
315.09;310.69;318.69;308.74;25062810934;0;2014-04-01 00:00:00;2014-04-30 00:00:00
320.41;314.88;320.45;304.89;77614594632;0;2014-03-01 00:00:00;2014-03-31 00:00:00
319.58;320.33;323.24;319.06;46017915079;0;2014-02-01 00:00:00;2014-02-28 00:00:00
324.85;319.26;326.09;319.09;50513186803;0;2014-01-01 00:00:00;2014-01-31 00:00:00
320.35;324.62;327.95;318.01;64549857788;0;2013-12-01 00:00:00;2013-12-30 00:00:00
327.43;320.22;327.43;319.65;30306787307;0;2013-11-01 00:00:00;2013-11-30 00:00:00
322.89;327.15;327.25;322.57;20473834515;0;2013-10-01 00:00:00;2013-10-31 00:00:00
315.05;322.72;325.56;313.03;31454530605;0;2013-09-01 00:00:00;2013-09-30 00:00:00
318.35;316.37;321.25;314.39;29705374279;0;2013-08-01 00:00:00;2013-08-31 00:00:00
313.11;318.01;322.07;312.73;42162082904;0;2013-07-01 00:00:00;2013-07-31 00:00:00
317.99;313.57;319.18;303.55;61476750780;0;2013-06-01 00:00:00;2013-06-30 00:00:00
327.86;317.87;328.86;317.87;30014776329;0;2013-05-01 00:00:00;2013-05-31 00:00:00
317.17;327.73;327.8;316.7;42349804676;0;2013-04-01 00:00:00;2013-04-30 00:00:00
318.53;317.43;318.69;314.99;31053608363;0;2013-03-01 00:00:00;2013-03-31 00:00:00
317.32;318.12;319.42;316.42;43344604568;0;2013-02-01 00:00:00;2013-02-28 00:00:00
313.36;317.4;318.28;311.91;26776778810;0;2013-01-01 00:00:00;2013-01-31 00:00:00
307.89;312.73;315.06;307.89;26600949747;0;2012-12-01 00:00:00;2012-12-31 00:00:00
301.28;308.57;308.58;300.7;36401402926;0;2012-11-01 00:00:00;2012-11-30 00:00:00
294.9;301.14;302.98;294.5;73416574996;0;2012-10-01 00:00:00;2012-10-31 00:00:00
292.5;294.9;295.04;292.48;44715876668;0;2012-09-01 00:00:00;2012-09-30 00:00:00
289.45;292.37;292.42;289.18;38461918192;0;2012-08-01 00:00:00;2012-08-31 00:00:00
281.99;289.34;290.38;280.18;50320353915;0;2012-07-01 00:00:00;2012-07-31 00:00:00
278.8;281.92;282.39;277.24;32334670109;0;2012-06-01 00:00:00;2012-06-30 00:00:00
284.6;279.01;284.86;278.87;24228790036;0;2012-05-01 00:00:00;2012-05-31 00:00:00
283.94;284.45;287.11;282.74;33709589299;0;2012-04-01 00:00:00;2012-04-30 00:00:00
282;283.77;284.67;281.69;34500219757;0;2012-03-01 00:00:00;2012-03-31 00:00:00
277.72;281.9;281.96;277.66;164206157303.53;0;2012-02-01 00:00:00;2012-02-29 00:00:00
272.95;277.67;277.7;272.92;77365644622.35;0;2012-01-01 00:00:00;2012-01-31 00:00:00


